번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량,평균 상대습도(%),합계 일조시간(hr),일조율(%),평균 풍속(m/s)
25,이탈리안 라이그라스,연천,2011,2020,10.7,-19.1,35.2,6,2,2311.2,63.9,2111.8,47.41,1.4
26,이탈리안 라이그라스,제주,2011,16161,15.6,-2.8,34.7,8,3,1478.6,68.7,1720,38.66,3.3
27,이탈리안 라이그라스,예산,2011,8268,11.6,-14.7,33,1,1,1704.4,73.1,2007,45.07,2.9
28,이탈리안 라이그라스,익산,2011,5724,13.1,-13.4,36.2,16,6,1621.8,66.6,1954.6,43.91,1.9
29,이탈리안 라이그라스,천안,2013,15806,12.3,-19.2,35.6,14,6,1095.6,70.8,2469.8,55.47,2
30,이탈리안 라이그라스,연천,2013,11528,11.4,-20.7,34.3,5,2,1470.9,67.3,2398.2,53.84,1.7
31,이탈리안 라이그라스,제주,2013,18437,16.5,-1.8,36.3,23,5,859.1,72.1,1990.2,44.73,3.2
32,이탈리안 라이그라스,예산,2013,12630,11.8,-16.6,33.4,2,1,1018.7,80.9,2382.7,53.51,2.1
33,이탈리안 라이그라스,익산,2013,8191,13.8,-15.3,37.8,39,18,1264.7,67.3,2315,52.01,1.8
34,이탈리안 라이그라스,수원,2005,9318,12,-14.4,35.1,7,3,84.5,61.3,2149.4,48.27,2
35,이탈리안 라이그라스,남원,2005,11306,12,-19.3,37,20,9,1126.2,72.1,2449.5,55.03,1.4
36,이탈리안 라이그라스,수원,2006,10330,12.9,-13.2,35.9,13,5,169.5,62,1923.8,43.21,2.1
37,이탈리안 라이그라스,남원,2006,12605,12.8,-15.1,35.9,22,19,1381.5,72.1,2207.8,49.6,1.4
38,이탈리안 라이그라스,천안,2006,10330,11.5,-15.6,33.5,6,3,1043.3,67.6,2010.9,45.15,1.8
39,이탈리안 라이그라스,남원,2006,12605,12.8,-15.1,35.9,22,19,1381.5,72.1,2207.8,49.6,1.4
40,이탈리안 라이그라스,천안,2007,16683,12.5,-13.6,34.9,3,2,1562.4,69.2,1934.1,43.43,1.7
41,이탈리안 라이그라스,남원,2007,11884,13,-9.6,35,20,4,1815.2,74.5,1871.7,42.05,1.3
42,이탈리안 라이그라스,전주,2015,7674,14.2,-10.1,35.3,13,10,813.5,69.7,2192.8,49.27,1.6
43,이탈리안 라이그라스,제주,2015,11405,16.7,-0.7,36.7,7,2,1728.3,70.9,1826.6,41.06,3
44,이탈리안 라이그라스,전주,2016,10684,14.3,-13,36.2,32,19,1117.7,72.4,2170.1,48.64,1.8
45,이탈리안 라이그라스,제주,2016,16796,17,-5.8,35.5,15,7,1416.4,71.9,1718.4,38.54,3.1
46,이탈리안 라이그라스,수원,2003,6652,12.3,-16.2,31.3,0,0,121.5,66.3,1865.3,41.9,1.8
47,이탈리안 라이그라스,수원,2004,10131,12.8,-15.9,35.1,12,5,89.5,62.6,2185.4,48.97,2.1
48,이탈리안 라이그라스,수원,2005,4392,12,-14.4,35.1,7,3,84.5,61.3,2149.4,48.27,2
49,이탈리안 라이그라스,수원,2006,7213,12.9,-13.2,35.9,13,5,169.5,62,1923.8,43.21,2.1
50,이탈리안 라이그라스,연천,2005,2263,10.3,-18,34.8,7,3,1378.2,64.6,2167.7,48.67,1.8
51,이탈리안 라이그라스,연천,2006,3565,11.2,-17.5,34.8,8,3,1360.1,66.6,1972.1,44.27,1.6
52,이탈리안 라이그라스,천안,2017,13049,11.8,-15.9,35.2,6,3,1305,64.1,2473.1,55.54,1.5
53,이탈리안 라이그라스,연천,2017,6855,11.8,-16.6,35.9,18,7,989.7,60.7,2446.4,54.92,1.7
54,이탈리안 라이그라스,제주,2017,31243,16.8,-1.1,37,23,6,773.3,67.5,1981.3,44.53,3.1
55,이탈리안 라이그라스,예산,2017,6512,12.2,-12.9,34.7,7,5,830.4,78.1,2624.7,58.95,2
56,이탈리안 라이그라스,익산,2017,9327,13.6,-9.7,35.1,12,7,947.8,70,2428,54.55,1.7
57,이탈리안 라이그라스,천안,2016,12765,12.7,-18.6,35.1,17,7,1004.8,69.9,2223.8,49.83,1.5
58,이탈리안 라이그라스,연천,2016,2733,12.6,-19.3,35.7,28,11,1087.2,61,2412.1,54.04,1.6
59,이탈리안 라이그라스,제주,2016,19180,17,-5.8,35.5,15,7,1416.4,71.9,1718.4,38.54,3.1
60,이탈리안 라이그라스,예산,2016,9988,12.9,-12.7,34.6,16,10,922.1,81.3,2382.9,53.39,2
61,이탈리안 라이그라스,익산,2016,12862,14.3,-13,36.2,32,19,1117.7,72.4,2170.1,48.64,1.8
62,이탈리안 라이그라스,천안,2018,13769,11.8,-20.6,37.8,31,22,1163.4,65.3,2396.4,53.81,1.6
63,이탈리안 라이그라스,연천,2018,5642,11.7,-20.4,38.7,33,21,1500,61,2590.3,58.15,1.6
64,이탈리안 라이그라스,제주,2018,12169,16.6,-2.6,35.3,15,4,1769.5,71.1,1939.7,43.6,3.1
65,이탈리안 라이그라스,예산,2018,5382,12.2,-15.9,37.1,26,14,1227.2,72.8,2660,59.74,1.9
66,이탈리안 라이그라스,익산,2018,8527,13.9,-15,38.9,41,35,1332.5,74.1,2461.6,55.3,1.7
67,이탈리안 라이그라스,천안,2006,10474,11.5,-15.6,33.5,6,3,1043.3,67.6,2010.9,45.15,1.8
68,이탈리안 라이그라스,제주,2006,22780,16.2,-1.8,34,7,2,1527.4,64.3,1704.7,38.32,3.2
69,이탈리안 라이그라스,연천,2006,11562,11.2,-17.5,34.8,8,3,1360.1,66.6,1972.1,44.27,1.6
