번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량,평균 상대습도(%),합계 일조시간(hr),일조율(%),평균 풍속(m/s)
817,목초,대관령,2002,7507,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
818,목초,대관령,2000,9490,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
819,목초,대관령,2001,7277,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
820,목초,대관령,2002,9582,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
821,목초,대관령,2000,11670,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
822,목초,남원,2000,13750,12.1,-19,35.2,17,5,1475.5,71.6,1996.8,47.6,1.4
823,목초,남원,2000,13410,12.1,-19,35.2,17,5,1475.5,71.6,1996.8,47.6,1.4
824,목초,남원,2000,11840,12.1,-19,35.2,17,5,1475.5,71.6,1996.8,47.6,1.4
825,목초,남원,2000,11840,12.1,-19,35.2,17,5,1475.5,71.6,1996.8,47.6,1.4
826,목초,남원,2000,12360,12.1,-19,35.2,17,5,1475.5,71.6,1996.8,47.6,1.4
827,목초,남원,2000,10190,12.1,-19,35.2,17,5,1475.5,71.6,1996.8,47.6,1.4
828,목초,남원,2000,11120,12.1,-19,35.2,17,5,1475.5,71.6,1996.8,47.6,1.4
829,목초,남원,2000,14590,12.1,-19,35.2,17,5,1475.5,71.6,1996.8,47.6,1.4
830,목초,남원,2001,10268,12.5,-19.7,35.3,20,6,1467.5,69.8,2420.1,54.43,1.3
831,목초,남원,2001,8243,12.5,-19.7,35.3,20,6,1467.5,69.8,2420.1,54.43,1.3
832,목초,남원,2001,8693,12.5,-19.7,35.3,20,6,1467.5,69.8,2420.1,54.43,1.3
833,목초,남원,2001,8879,12.5,-19.7,35.3,20,6,1467.5,69.8,2420.1,54.43,1.3
834,목초,남원,2001,10036,12.5,-19.7,35.3,20,6,1467.5,69.8,2420.1,54.43,1.3
835,목초,남원,2001,9255,12.5,-19.7,35.3,20,6,1467.5,69.8,2420.1,54.43,1.3
836,목초,남원,2001,9659,12.5,-19.7,35.3,20,6,1467.5,69.8,2420.1,54.43,1.3
837,목초,남원,2001,12719,12.5,-19.7,35.3,20,6,1467.5,69.8,2420.1,54.43,1.3
838,목초,남원,2002,11137,12.6,-11.8,35.2,11,2,1624,67.1,2438.4,54.78,1.2
839,목초,남원,2002,11343,12.6,-11.8,35.2,11,2,1624,67.1,2438.4,54.78,1.2
840,목초,남원,2002,10045,12.6,-11.8,35.2,11,2,1624,67.1,2438.4,54.78,1.2
841,목초,남원,2002,11027,12.6,-11.8,35.2,11,2,1624,67.1,2438.4,54.78,1.2
842,목초,남원,2002,11006,12.6,-11.8,35.2,11,2,1624,67.1,2438.4,54.78,1.2
843,목초,남원,2002,10372,12.6,-11.8,35.2,11,2,1624,67.1,2438.4,54.78,1.2
844,목초,남원,2002,11920,12.6,-11.8,35.2,11,2,1624,67.1,2438.4,54.78,1.2
845,목초,남원,2002,14360,12.6,-11.8,35.2,11,2,1624,67.1,2438.4,54.78,1.2
846,목초,대관령,2000,7870,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
847,목초,대관령,2000,8130,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
848,목초,대관령,2000,8280,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
849,목초,대관령,2000,9200,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
