번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량
923,옥수수,대구(경북),2014,17970,14.9,-7.4,37.5,22,7,1072.1
924,옥수수,대구(경북),2014,23280,14.9,-7.4,37.5,22,7,1072.1
925,옥수수,대구(경북),2014,22740,14.9,-7.4,37.5,22,7,1072.1
926,옥수수,대구(경북),2014,17610,14.9,-7.4,37.5,22,7,1072.1
927,옥수수,대구(경북),2014,23220,14.9,-7.4,37.5,22,7,1072.1
928,옥수수,대구(경북),2013,24520,15,-12.5,37.9,54,20,996.4
929,옥수수,대구(경북),2013,21130,15,-12.5,37.9,54,20,996.4
930,옥수수,대구(경북),2013,20670,15,-12.5,37.9,54,20,996.4
931,옥수수,대구(경북),2013,19830,15,-12.5,37.9,54,20,996.4
932,옥수수,대구(경북),2013,20270,15,-12.5,37.9,54,20,996.4
933,옥수수,대구(경북),2013,24790,15,-12.5,37.9,54,20,996.4
934,옥수수,대구(경북),2013,22080,15,-12.5,37.9,54,20,996.4
935,옥수수,대구(경북),2013,22130,15,-12.5,37.9,54,20,996.4
936,옥수수,대구(경북),2013,20940,15,-12.5,37.9,54,20,996.4
937,옥수수,대구(경북),2013,23460,15,-12.5,37.9,54,20,996.4
938,옥수수,대구(경북),2013,21480,15,-12.5,37.9,54,20,996.4
939,옥수수,대구(경북),2013,19830,15,-12.5,37.9,54,20,996.4
940,옥수수,대구(경북),2013,21040,15,-12.5,37.9,54,20,996.4
941,옥수수,대구(경북),2013,20260,15,-12.5,37.9,54,20,996.4
942,옥수수,대구(경북),2012,19180,14.1,-12.4,37.2,30,18,1189.9
943,옥수수,대구(경북),2012,17290,14.1,-12.4,37.2,30,18,1189.9
944,옥수수,대구(경북),2012,20160,14.1,-12.4,37.2,30,18,1189.9
945,옥수수,대구(경북),2012,21400,14.1,-12.4,37.2,30,18,1189.9
946,옥수수,대구(경북),2012,20790,14.1,-12.4,37.2,30,18,1189.9
947,옥수수,대구(경북),2012,15520,14.1,-12.4,37.2,30,18,1189.9
948,옥수수,대구(경북),2012,18090,14.1,-12.4,37.2,30,18,1189.9
949,옥수수,대구(경북),2012,17670,14.1,-12.4,37.2,30,18,1189.9
950,옥수수,대구(경북),2012,18350,14.1,-12.4,37.2,30,18,1189.9
951,옥수수,대구(경북),2011,12700,14.3,-13.1,35.5,29,6,1430.4
952,옥수수,대구(경북),2011,14560,14.3,-13.1,35.5,29,6,1430.4
953,옥수수,대구(경북),2011,12950,14.3,-13.1,35.5,29,6,1430.4
954,옥수수,대구(경북),2011,12310,14.3,-13.1,35.5,29,6,1430.4
955,옥수수,대구(경북),2011,1355,14.3,-13.1,35.5,29,6,1430.4
956,옥수수,대구(경북),2011,12140,14.3,-13.1,35.5,29,6,1430.4
957,옥수수,대구(경북),2011,13250,14.3,-13.1,35.5,29,6,1430.4
958,옥수수,대구(경북),2011,12850,14.3,-13.1,35.5,29,6,1430.4
959,옥수수,대구(경북),2011,12440,14.3,-13.1,35.5,29,6,1430.4
960,옥수수,대구(경북),2011,12460,14.3,-13.1,35.5,29,6,1430.4
961,옥수수,대구(경북),2010,21050,14.4,-10,36.5,41,7,1204.5
962,옥수수,대구(경북),2010,20330,14.4,-10,36.5,41,7,1204.5
963,옥수수,대구(경북),2010,19390,14.4,-10,36.5,41,7,1204.5
964,옥수수,대구(경북),2010,20640,14.4,-10,36.5,41,7,1204.5
965,옥수수,대구(경북),2010,18900,14.4,-10,36.5,41,7,1204.5
966,옥수수,대구(경북),2010,19700,14.4,-10,36.5,41,7,1204.5
967,옥수수,대구(경북),2010,18790,14.4,-10,36.5,41,7,1204.5
968,옥수수,대구(경북),2010,20120,14.4,-10,36.5,41,7,1204.5
969,옥수수,대구(경북),2010,20040,14.4,-10,36.5,41,7,1204.5
970,옥수수,대구(경북),2010,20340,14.4,-10,36.5,41,7,1204.5
971,옥수수,대구(경북),2010,17880,14.4,-10,36.5,41,7,1204.5
972,옥수수,대구(경북),2007,15530,15,-5.1,36.4,23,8,973.9
973,옥수수,대구(경북),2007,18760,15,-5.1,36.4,23,8,973.9
974,옥수수,대구(경북),2007,16800,15,-5.1,36.4,23,8,973.9
975,옥수수,대구(경북),2007,17630,15,-5.1,36.4,23,8,973.9
976,옥수수,대구(경북),2007,15520,15,-5.1,36.4,23,8,973.9
977,옥수수,대구(경북),2007,16970,15,-5.1,36.4,23,8,973.9
978,옥수수,대구(경북),2007,19440,15,-5.1,36.4,23,8,973.9
979,옥수수,대구(경북),2007,15940,15,-5.1,36.4,23,8,973.9
980,옥수수,대구(경북),2006,14950,14.6,-10.1,37.2,27,19,1131.5
981,옥수수,대구(경북),2006,13250,14.6,-10.1,37.2,27,19,1131.5
982,옥수수,대구(경북),2006,9790,14.6,-10.1,37.2,27,19,1131.5
983,옥수수,대구(경북),2006,11910,14.6,-10.1,37.2,27,19,1131.5
984,옥수수,대구(경북),2006,12580,14.6,-10.1,37.2,27,19,1131.5
985,옥수수,대구(경북),2006,10500,14.6,-10.1,37.2,27,19,1131.5
986,옥수수,대구(경북),2006,10810,14.6,-10.1,37.2,27,19,1131.5
987,옥수수,대구(경북),2006,14690,14.6,-10.1,37.2,27,19,1131.5
988,옥수수,대구(경북),2006,12100,14.6,-10.1,37.2,27,19,1131.5
989,옥수수,대구(경북),2006,10140,14.6,-10.1,37.2,27,19,1131.5
990,옥수수,대구(경북),2006,13130,14.6,-10.1,37.2,27,19,1131.5
991,옥수수,대구(경북),2005,16180,14.2,-11.1,36.2,26,6,834.3
992,옥수수,대구(경북),2005,15380,14.2,-11.1,36.2,26,6,834.3
993,옥수수,대구(경북),2005,21370,14.2,-11.1,36.2,26,6,834.3
994,옥수수,대구(경북),2005,16800,14.2,-11.1,36.2,26,6,834.3
995,옥수수,대구(경북),2005,18940,14.2,-11.1,36.2,26,6,834.3
996,옥수수,대구(경북),2005,18510,14.2,-11.1,36.2,26,6,834.3
997,옥수수,대구(경북),2005,18050,14.2,-11.1,36.2,26,6,834.3
998,옥수수,대구(경북),2005,18290,14.2,-11.1,36.2,26,6,834.3
999,옥수수,대구(경북),2005,16870,14.2,-11.1,36.2,26,6,834.3
1000,옥수수,대구(경북),2005,16630,14.2,-11.1,36.2,26,6,834.3
1001,옥수수,대구(경북),2005,15360,14.2,-11.1,36.2,26,6,834.3
1002,옥수수,대구(경북),2005,15160,14.2,-11.1,36.2,26,6,834.3
1003,옥수수,대구(경상북도농업기술원),2016,23810,14.6,-13,38.1,32,7,1227.3
1004,옥수수,대구(경상북도농업기술원),2016,23910,14.6,-13,38.1,32,7,1227.3
1005,옥수수,대구(경상북도농업기술원),2016,30930,14.6,-13,38.1,32,7,1227.3
1006,옥수수,대구(경상북도농업기술원),2016,18460,14.6,-13,38.1,32,7,1227.3
1007,옥수수,대구(경상북도농업기술원),2016,22070,14.6,-13,38.1,32,7,1227.3
1008,옥수수,대구(경상북도농업기술원),2016,31110,14.6,-13,38.1,32,7,1227.3
1009,옥수수,대구(경상북도농업기술원),2016,29820,14.6,-13,38.1,32,7,1227.3
1010,옥수수,대구(경상북도농업기술원),2016,23450,14.6,-13,38.1,32,7,1227.3
1011,옥수수,대구(경상북도농업기술원),2016,25430,14.6,-13,38.1,32,7,1227.3
1012,옥수수,대구(경상북도농업기술원),2016,31820,14.6,-13,38.1,32,7,1227.3
1013,옥수수,대구(경상북도농업기술원),2016,28720,14.6,-13,38.1,32,7,1227.3
1014,옥수수,대구(경상북도농업기술원),2016,28540,14.6,-13,38.1,32,7,1227.3
1015,옥수수,대구(경상북도농업기술원),2015,26330,14.8,-8.9,38.3,21,16,908.5
1016,옥수수,대구(경상북도농업기술원),2015,20790,14.8,-8.9,38.3,21,16,908.5
1017,옥수수,대구(경상북도농업기술원),2015,22940,14.8,-8.9,38.3,21,16,908.5
1018,옥수수,대구(경상북도농업기술원),2015,21820,14.8,-8.9,38.3,21,16,908.5
1019,옥수수,대구(경상북도농업기술원),2015,28810,14.8,-8.9,38.3,21,16,908.5
1020,옥수수,대구(경상북도농업기술원),2015,25360,14.8,-8.9,38.3,21,16,908.5
1021,옥수수,대구(경상북도농업기술원),2015,26670,14.8,-8.9,38.3,21,16,908.5
1022,옥수수,대구(경상북도농업기술원),2015,30670,14.8,-8.9,38.3,21,16,908.5
1023,옥수수,대구(경상북도농업기술원),2015,26480,14.8,-8.9,38.3,21,16,908.5
1024,옥수수,대구(경상북도농업기술원),2015,25300,14.8,-8.9,38.3,21,16,908.5
1025,옥수수,대구(경상북도농업기술원),2015,26640,14.8,-8.9,38.3,21,16,908.5
1026,옥수수,대구(경상북도농업기술원),2015,23050,14.8,-8.9,38.3,21,16,908.5
1027,옥수수,수원,2014,25230,13.1,-11.1,34.6,8,4,1029.1
1028,옥수수,수원,2014,27380,13.1,-11.1,34.6,8,4,1029.1
1029,옥수수,수원,2014,27080,13.1,-11.1,34.6,8,4,1029.1
1030,옥수수,수원,2014,25930,13.1,-11.1,34.6,8,4,1029.1
1031,옥수수,수원,2014,23340,13.1,-11.1,34.6,8,4,1029.1
1032,옥수수,수원,2014,24690,13.1,-11.1,34.6,8,4,1029.1
1033,옥수수,수원,2014,21490,13.1,-11.1,34.6,8,4,1029.1
1034,옥수수,수원,2014,19970,13.1,-11.1,34.6,8,4,1029.1
1035,옥수수,수원,2014,24640,13.1,-11.1,34.6,8,4,1029.1
1036,옥수수,수원,2014,25490,13.1,-11.1,34.6,8,4,1029.1
1037,옥수수,수원,2014,23510,13.1,-11.1,34.6,8,4,1029.1
1038,옥수수,수원,2014,24520,13.1,-11.1,34.6,8,4,1029.1
1039,옥수수,수원,2014,25980,13.1,-11.1,34.6,8,4,1029.1
1040,옥수수,수원,2013,12940,12.3,-18.1,34.7,14,7,1240.1
1041,옥수수,수원,2013,11240,12.3,-18.1,34.7,14,7,1240.1
1042,옥수수,수원,2013,11700,12.3,-18.1,34.7,14,7,1240.1
1043,옥수수,수원,2013,11470,12.3,-18.1,34.7,14,7,1240.1
1044,옥수수,수원,2013,12200,12.3,-18.1,34.7,14,7,1240.1
1045,옥수수,수원,2013,13570,12.3,-18.1,34.7,14,7,1240.1
1046,옥수수,수원,2013,11710,12.3,-18.1,34.7,14,7,1240.1
